Price,Close,High,Low,Open,Volume
Ticker,,,,,
Date,,,,,
8/28/2024,225.4407959,228.7951796,224.6345354,226.8641642,38052200
8/29/2024,228.7255096,231.841015,227.8197367,229.0340864,51906300
8/30/2024,227.9391632,229.3326717,226.4262003,229.123653,52990800
9/3/2024,221.7380371,227.9391728,220.1454429,227.4912604,50190600
9/4/2024,219.8269196,220.752604,216.4725207,220.6331648,43840200
9/5/2024,221.3498383,224.4354685,220.4938216,220.6033126,36615400
9/6/2024,219.7970734,224.1965962,218.7519344,222.9125635,48423000
9/9/2024,219.8866577,220.2449907,215.7061169,219.7970783,67180000
9/10/2024,219.0903473,220.4539959,215.7260002,217.9058575,51591000
9/11/2024,221.62854,222.0565408,216.8806326,220.434102,44587100
9/12/2024,221.7380371,222.5144226,218.8017058,221.4692836,37455600
9/13/2024,221.4692688,223.0021281,220.8820056,222.5442675,36766600
9/16/2024,215.3179169,216.2137416,212.9290256,215.5368838,59357400
9/17/2024,215.7857208,215.8952119,213.5063359,214.7505453,45519300
9/18/2024,219.6676483,221.6782948,216.5322317,216.5421951,59894900
9/19/2024,227.8097534,228.7553647,223.589405,223.9477379,66781300
9/20/2024,227.142868,232.0102147,226.5655531,228.9046728,318679900
9/23/2024,225.4208832,228.3870741,224.763937,226.2868481,54146000
9/24/2024,226.3167267,228.2875655,224.6843244,227.590796,43556100
9/25/2024,225.3213501,226.2370864,222.9822454,223.8880184,42308700
9/26/2024,226.4660187,227.4414746,224.3657926,226.2470366,36636700
9/27/2024,226.7347565,228.4567532,226.2470361,227.4016661,34026000
9/30/2024,231.920639,231.920639,228.5861517,228.9743444,54541900
10/1/2024,225.1620941,228.5861456,222.7035351,228.4567582,63285000
10/2/2024,225.7294312,226.3166943,221.986855,224.8435547,32880600
10/3/2024,224.624588,225.7593064,222.2854834,224.0970444,34044200
10/4/2024,225.7493744,226.9438125,223.0917447,226.8442696,37245100
10/7/2024,220.6630402,224.6445105,220.3047072,223.4600206,39505400
